epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3752,0.69794,2.90846,1.2872,0.49471,0.50212,0.5259,0.40724,0.92929,2.10858,1.32909,0.000414815,0.000414815,0.000414815
2,43.9355,0.80274,2.2593,1.32579,0.60258,0.69662,0.6894,0.44789,1.1224,1.67618,1.46422,0.000804043,0.000804043,0.000804043
3,62.1641,0.87089,1.83351,1.35014,0.50351,0.52539,0.45057,0.29686,1.23209,2.25067,1.70672,0.00116577,0.00116577,0.00116577
4,80.2619,0.79498,1.55949,1.28845,0.46308,0.71763,0.6413,0.42049,1.02883,2.18179,1.4223,0.00112625,0.00112625,0.00112625
5,98.8881,0.83875,1.44252,1.32673,0.67836,0.69702,0.75259,0.51223,1.14951,1.74551,1.56524,0.001085,0.001085,0.001085
6,117.641,0.79728,1.41865,1.28587,0.76948,0.81977,0.86221,0.6258,0.93495,1.29071,1.30056,0.00104375,0.00104375,0.00104375
7,137.022,0.81671,1.37221,1.3035,0.7793,0.85505,0.84759,0.63752,0.92556,1.01914,1.27749,0.0010025,0.0010025,0.0010025
8,155.916,0.75487,1.2881,1.26973,0.85482,0.87344,0.91879,0.67001,0.83053,1.06128,1.15272,0.00096125,0.00096125,0.00096125
9,174.899,0.71965,1.17216,1.22136,0.87649,0.81786,0.89994,0.6709,0.85493,1.04277,1.27594,0.00092,0.00092,0.00092
10,193.742,0.69055,1.19377,1.21509,0.8263,0.92629,0.86322,0.64353,0.84469,1.00472,1.2965,0.00087875,0.00087875,0.00087875
11,213.008,0.73756,1.11725,1.24319,0.85345,0.8736,0.87344,0.63648,0.8064,1.1354,1.14743,0.0008375,0.0008375,0.0008375
12,232.059,0.67754,1.05999,1.20862,0.89707,0.80617,0.91734,0.69391,0.85271,1.03403,1.16736,0.00079625,0.00079625,0.00079625
13,251.091,0.65709,1.04156,1.18751,0.9371,0.88363,0.90934,0.67846,0.87518,0.83318,1.17465,0.000755,0.000755,0.000755
14,288.359,0.64143,0.97506,1.19096,0.81929,0.81503,0.82589,0.62798,0.85243,1.14978,1.15788,0.00071375,0.00071375,0.00071375
15,329.897,0.62231,0.96568,1.16562,0.93756,0.91144,0.9562,0.72128,0.80116,0.74598,1.09798,0.0006725,0.0006725,0.0006725
16,371.05,0.64066,0.97758,1.1787,0.93723,0.90029,0.9539,0.7335,0.7964,0.75474,1.08379,0.00063125,0.00063125,0.00063125
17,412.332,0.59875,0.93988,1.17906,0.93242,0.90747,0.95216,0.73504,0.80084,0.74102,1.06712,0.00059,0.00059,0.00059
18,453.748,0.56787,0.88074,1.14116,0.84412,0.88848,0.94737,0.73022,0.78527,0.86794,1.07701,0.00054875,0.00054875,0.00054875
19,494.22,0.56743,0.83469,1.14494,0.91543,0.88142,0.96009,0.74321,0.786,0.7466,1.04982,0.0005075,0.0005075,0.0005075
20,535.288,0.59048,0.8653,1.16008,0.96579,0.87138,0.94645,0.73828,0.79014,0.67346,1.09775,0.00046625,0.00046625,0.00046625
21,593.806,0.48347,0.84896,1.20045,0.91622,0.92406,0.96004,0.72914,0.79994,0.87191,1.10852,0.000425,0.000425,0.000425
22,634.546,0.45886,0.69475,1.17413,0.91074,0.95629,0.96406,0.74652,0.77071,0.71219,1.0807,0.00038375,0.00038375,0.00038375
23,676.674,0.4523,0.68236,1.16008,0.94288,0.97185,0.97457,0.74967,0.72656,0.68528,1.00557,0.0003425,0.0003425,0.0003425
24,718.147,0.40243,0.59206,1.10563,0.97222,0.90756,0.96305,0.76055,0.73957,0.61765,1.01558,0.00030125,0.00030125,0.00030125
25,759.367,0.41554,0.58003,1.1281,0.9347,0.92657,0.96106,0.74494,0.77255,0.67704,1.03808,0.00026,0.00026,0.00026
26,801.295,0.40094,0.53716,1.11189,0.94853,0.95941,0.96021,0.75767,0.74163,0.60293,1.02525,0.00021875,0.00021875,0.00021875
27,842.341,0.38717,0.46935,1.10937,0.97582,0.93081,0.97059,0.76707,0.73578,0.60209,0.99641,0.0001775,0.0001775,0.0001775
28,882.977,0.38953,0.45897,1.09574,0.94902,0.93396,0.96937,0.76652,0.71567,0.59809,0.96864,0.00013625,0.00013625,0.00013625
29,923.919,0.37455,0.46502,1.12714,0.98578,0.92463,0.97463,0.77703,0.69836,0.58304,0.99168,9.5e-05,9.5e-05,9.5e-05
30,966.479,0.37296,0.4521,1.09741,0.95016,0.92102,0.97121,0.77487,0.713,0.59468,0.98112,5.375e-05,5.375e-05,5.375e-05
