epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5004,3.03814,3.79368,4.18473,0.00334,0.97673,0.00837,0.00248,2.8115,3.39839,4.14069,0.00035,0.00035,0.00035
2,87.7501,3.01898,3.64767,4.0235,0.25475,0.7381,0.08372,0.01934,2.51044,39.1457,3.89061,0.000705446,0.000705446,0.000705446
3,123.781,2.79216,3.47244,3.74702,0.25589,0.7381,0.05954,0.01022,2.77184,110.948,5.33767,0.00105371,0.00105371,0.00105371
4,155.288,2.65359,3.41303,3.48269,0.7876,0.1131,0.06572,0.01641,2.20116,6.40188,3.27675,0.00121287,0.00121287,0.00121287
5,184.497,2.51253,3.30913,3.26461,0.26295,0.21429,0.01317,0.00727,2.48115,88.3626,6.86853,0.0012005,0.0012005,0.0012005
6,216.178,2.46424,3.16254,3.11023,0.01943,0.73542,0.0284,0.01262,2.02738,inf,12.2542,0.00118812,0.00118812,0.00118812
7,250.754,2.31008,3.01333,2.969,0.0045,0.22619,0.00526,0.00446,2.5347,5.40119,4.90441,0.00117575,0.00117575,0.00117575
8,285.242,2.24115,2.91292,2.8133,0.76467,0.2381,0.12616,0.08001,1.83218,35.0126,3.57343,0.00116337,0.00116337,0.00116337
9,314.095,2.0488,2.79256,2.70266,0.00025,0.01872,0.00017,5e-05,1.65892,5.16535,4.08616,0.001151,0.001151,0.001151
10,334.4,2.00976,2.64819,2.60962,0.62886,0.13095,0.15988,0.08025,1.77604,2.92029,3.0731,0.00113863,0.00113863,0.00113863
11,391.442,1.86423,2.49769,2.49928,0.33708,0.34091,0.19246,0.09556,1.7086,6.86532,2.87079,0.00112625,0.00112625,0.00112625
12,422.875,1.77535,2.421,2.41661,0.23308,0.56299,0.30609,0.12179,1.52203,2.26262,2.7199,0.00111388,0.00111388,0.00111388
13,459.26,1.66678,2.28327,2.32286,0.20548,0.64371,0.36264,0.18594,1.36187,2.15346,2.51466,0.0011015,0.0011015,0.0011015
14,496.104,1.56132,2.13943,2.19774,0.43222,0.48755,0.4203,0.21229,1.30597,3.019,2.38915,0.00108913,0.00108913,0.00108913
15,526.263,1.48342,2.06619,2.12181,0.22592,0.67933,0.41492,0.19417,1.38809,3.01709,2.51291,0.00107675,0.00107675,0.00107675
16,566.954,1.37231,1.90165,2.01374,0.34559,0.6597,0.43089,0.22938,1.28189,3.10781,2.35419,0.00106437,0.00106437,0.00106437
17,596.056,1.30575,1.80457,1.95951,0.28794,0.66809,0.44339,0.27871,1.17562,2.14328,2.22586,0.001052,0.001052,0.001052
18,635.446,1.26769,1.7864,1.938,0.33905,0.67194,0.47331,0.29802,1.25043,1.92808,2.30144,0.00103962,0.00103962,0.00103962
19,672.452,1.19944,1.74332,1.86605,0.21712,0.68587,0.50068,0.36003,1.13573,2.95866,2.15025,0.00102725,0.00102725,0.00102725
20,693.596,1.16745,1.70853,1.82684,0.51497,0.7699,0.63924,0.45759,1.17487,1.37288,2.2586,0.00101488,0.00101488,0.00101488
21,713.987,1.15512,1.65563,1.8261,0.46937,0.74255,0.66131,0.47583,1.06999,1.46042,2.1336,0.0010025,0.0010025,0.0010025
22,734.665,1.06418,1.51678,1.72913,0.40918,0.70296,0.50809,0.30287,1.33293,1.99479,2.24529,0.000990125,0.000990125,0.000990125
23,754.808,1.07146,1.55767,1.76222,0.393,0.80015,0.64151,0.48054,0.98306,1.65815,1.97069,0.00097775,0.00097775,0.00097775
24,775.469,1.02996,1.49368,1.71731,0.43178,0.72792,0.54764,0.3748,1.16614,1.74384,2.11592,0.000965375,0.000965375,0.000965375
25,795.318,0.97544,1.411,1.66036,0.4874,0.80092,0.68751,0.51401,0.98963,1.51029,1.96935,0.000953,0.000953,0.000953
26,815.888,1.07712,1.5277,1.7372,0.49492,0.79298,0.6999,0.52335,1.01495,1.33284,2.01518,0.000940625,0.000940625,0.000940625
27,836.525,1.11016,1.46887,1.7646,0.46383,0.75735,0.66228,0.49763,1.05245,1.28986,2.08026,0.00092825,0.00092825,0.00092825
28,855.521,1.01659,1.40241,1.66733,0.64858,0.8304,0.72978,0.54565,0.98028,1.06316,1.87313,0.000915875,0.000915875,0.000915875
29,874.533,0.98874,1.40687,1.6693,0.61023,0.8314,0.75636,0.55324,1.06895,1.07625,1.99239,0.0009035,0.0009035,0.0009035
30,893.456,0.90983,1.29603,1.5818,0.5373,0.79252,0.72223,0.53162,1.0138,1.29857,1.88401,0.000891125,0.000891125,0.000891125
31,911.714,0.89053,1.30612,1.5703,0.64517,0.86214,0.78633,0.5774,0.95351,1.22019,1.85122,0.00087875,0.00087875,0.00087875
32,930.695,0.95389,1.35258,1.59902,0.6619,0.76307,0.75089,0.54548,1.02106,1.20656,1.86316,0.000866375,0.000866375,0.000866375
33,949.256,0.89752,1.2602,1.55663,0.70313,0.74952,0.77534,0.60213,0.93448,1.06269,1.80338,0.000854,0.000854,0.000854
34,968.438,0.85043,1.20197,1.54589,0.56485,0.8283,0.8047,0.60135,0.93325,1.23813,1.88926,0.000841625,0.000841625,0.000841625
35,987.504,0.86673,1.18097,1.53355,0.68861,0.79004,0.83339,0.62409,0.96524,0.92558,1.75873,0.00082925,0.00082925,0.00082925
36,1007.62,0.92279,1.22851,1.57665,0.72718,0.73665,0.76779,0.57063,0.92286,1.32037,1.77442,0.000816875,0.000816875,0.000816875
37,1027.22,0.87829,1.14253,1.51982,0.70185,0.81974,0.84735,0.62184,1.01511,1.03471,1.76034,0.0008045,0.0008045,0.0008045
38,1045.42,0.92088,1.22129,1.55727,0.82545,0.81822,0.86996,0.63587,0.94412,0.95942,1.72662,0.000792125,0.000792125,0.000792125
39,1064.1,0.86734,1.13114,1.50551,0.72608,0.81889,0.84132,0.62958,0.94308,0.95182,1.78114,0.00077975,0.00077975,0.00077975
40,1081.92,0.8505,1.11345,1.50417,0.70132,0.82778,0.85096,0.59979,0.9726,1.07487,1.81736,0.000767375,0.000767375,0.000767375
41,1099.81,0.8664,1.14397,1.49855,0.79054,0.82217,0.86117,0.64071,0.92474,0.90583,1.73107,0.000755,0.000755,0.000755
42,1118.33,0.85722,1.0729,1.50337,0.81014,0.85352,0.9149,0.64201,1.0409,0.79027,1.82557,0.000742625,0.000742625,0.000742625
43,1137.06,0.8221,1.04337,1.49938,0.75376,0.82495,0.88171,0.66214,0.92327,0.84661,1.73832,0.00073025,0.00073025,0.00073025
44,1157.49,0.83136,1.09538,1.49071,0.64109,0.80936,0.80158,0.61078,0.87708,0.87028,1.68586,0.000717875,0.000717875,0.000717875
45,1177.39,0.87605,1.11681,1.56544,0.88506,0.78888,0.85926,0.65206,0.94558,0.84537,1.88439,0.0007055,0.0007055,0.0007055
46,1197.02,0.80767,1.01702,1.47759,0.88007,0.84791,0.90911,0.67394,0.89897,0.84907,1.69998,0.000693125,0.000693125,0.000693125
47,1217.59,0.79712,1.02052,1.46108,0.83313,0.8154,0.88867,0.65231,0.95346,0.7874,1.71878,0.00068075,0.00068075,0.00068075
48,1237.46,0.83131,1.02756,1.4666,0.78813,0.83791,0.9002,0.6573,0.93725,0.84552,1.72004,0.000668375,0.000668375,0.000668375
49,1257.01,0.8023,1.00025,1.45919,0.90279,0.80801,0.89234,0.68862,0.85857,0.65298,1.61743,0.000656,0.000656,0.000656
50,1276.58,0.78026,0.92232,1.43612,0.80142,0.83988,0.8907,0.67345,0.90736,0.75592,1.65764,0.000643625,0.000643625,0.000643625
51,1296.25,0.76675,0.90335,1.44965,0.71316,0.87992,0.84078,0.64314,0.85838,0.86828,1.65131,0.00063125,0.00063125,0.00063125
52,1316.27,0.80365,0.92537,1.45743,0.86763,0.85514,0.90839,0.67985,0.89585,0.70206,1.66984,0.000618875,0.000618875,0.000618875
53,1336.26,0.76931,0.90186,1.40432,0.7592,0.81779,0.82964,0.62455,0.93131,1.09392,1.66621,0.0006065,0.0006065,0.0006065
54,1354.76,0.75812,0.86596,1.41458,0.8863,0.87726,0.93277,0.71184,0.81502,0.65009,1.54001,0.000594125,0.000594125,0.000594125
55,1373.57,0.72592,0.93237,1.39492,0.84181,0.73552,0.87789,0.64214,0.95935,0.92568,1.69301,0.00058175,0.00058175,0.00058175
56,1391.33,0.70507,0.85866,1.3775,0.85569,0.86627,0.91355,0.70846,0.85292,0.63877,1.64158,0.000569375,0.000569375,0.000569375
57,1408.94,0.78535,1.03742,1.44038,0.78888,0.84708,0.90294,0.67852,0.84404,0.75235,1.60941,0.000557,0.000557,0.000557
58,1426.57,0.70192,0.86686,1.3651,0.92602,0.90376,0.93968,0.68311,0.87879,0.70307,1.58282,0.000544625,0.000544625,0.000544625
59,1444.37,0.7073,0.88352,1.38142,0.92336,0.93529,0.94858,0.71517,0.84778,0.59807,1.5147,0.00053225,0.00053225,0.00053225
60,1472.54,0.76635,0.96411,1.41306,0.87008,0.76824,0.89876,0.68948,0.88435,0.74,1.67855,0.000519875,0.000519875,0.000519875
61,1500.1,0.69528,0.81862,1.3744,0.86217,0.84399,0.89327,0.67016,0.88235,0.93922,1.58611,0.0005075,0.0005075,0.0005075
62,1525.02,0.78523,0.85151,1.46446,0.90532,0.90079,0.91563,0.69456,0.9202,0.63028,1.58356,0.000495125,0.000495125,0.000495125
63,1542.76,0.71815,0.81905,1.37637,0.90544,0.90352,0.96062,0.6942,0.89634,0.65994,1.59404,0.00048275,0.00048275,0.00048275
64,1561.61,0.69756,0.77502,1.34817,0.87483,0.89447,0.93293,0.70673,0.84702,0.64979,1.54541,0.000470375,0.000470375,0.000470375
65,1581.16,0.67694,0.76694,1.34332,0.92735,0.90914,0.9537,0.72316,0.83278,0.62035,1.54057,0.000458,0.000458,0.000458
66,1601.62,0.69028,0.778,1.35214,0.92485,0.87172,0.94206,0.71642,0.81972,0.7621,1.52533,0.000445625,0.000445625,0.000445625
67,1620.96,0.6614,0.76585,1.32894,0.944,0.91407,0.95081,0.71591,0.86135,0.551,1.54937,0.00043325,0.00043325,0.00043325
68,1658.7,0.65908,0.75052,1.33352,0.93179,0.88551,0.93642,0.71367,0.82478,0.57118,1.54566,0.000420875,0.000420875,0.000420875
69,1679.87,0.67652,0.77526,1.34992,0.93027,0.94091,0.95787,0.71738,0.816,0.57808,1.50199,0.0004085,0.0004085,0.0004085
70,1702.16,0.67904,0.77805,1.34804,0.96142,0.90282,0.96331,0.71636,0.84053,0.56844,1.51611,0.000396125,0.000396125,0.000396125
71,1723.42,0.64414,0.80369,1.32461,0.90597,0.91969,0.93773,0.69687,0.83272,0.60519,1.4936,0.00038375,0.00038375,0.00038375
72,1765.19,0.69036,0.79967,1.36112,0.90783,0.8485,0.9285,0.70219,0.85501,0.71616,1.52018,0.000371375,0.000371375,0.000371375
73,1786.38,0.66623,0.74433,1.31672,0.88051,0.86653,0.92801,0.71185,0.83909,0.68559,1.48295,0.000359,0.000359,0.000359
74,1809.61,0.69302,0.77465,1.3709,0.9597,0.94658,0.96,0.7253,0.81072,0.59956,1.48436,0.000346625,0.000346625,0.000346625
75,1830.33,0.62683,0.69142,1.31064,0.94611,0.94479,0.95739,0.73623,0.8073,0.52364,1.47063,0.00033425,0.00033425,0.00033425
