epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1850.83,0.65332,0.76051,1.32662,0.90418,0.91259,0.94172,0.72857,0.83885,0.62789,1.51691,0.000321875,0.000321875,0.000321875
77,1870.71,0.64756,0.69635,1.31908,0.9164,0.91526,0.95769,0.73127,0.82852,0.59982,1.46753,0.0003095,0.0003095,0.0003095
78,1890.4,0.5895,0.68644,1.28649,0.93062,0.9215,0.95491,0.72667,0.84286,0.60884,1.47992,0.000297125,0.000297125,0.000297125
79,1909.07,0.63065,0.71405,1.31236,0.95704,0.95714,0.96735,0.7356,0.80471,0.55694,1.47671,0.00028475,0.00028475,0.00028475
80,1927.81,0.64466,0.79419,1.38215,0.93983,0.91236,0.95708,0.73455,0.78447,0.53816,1.49739,0.000272375,0.000272375,0.000272375
81,1945.76,0.73213,0.82879,1.39264,0.9525,0.94853,0.96242,0.74169,0.81956,0.50696,1.4464,0.00026,0.00026,0.00026
82,1965.4,0.63231,0.68972,1.30665,0.95813,0.95169,0.96767,0.73989,0.80813,0.60592,1.47492,0.000247625,0.000247625,0.000247625
83,1983.48,0.63142,0.66025,1.32218,0.9511,0.95586,0.96061,0.73921,0.82049,0.53354,1.48363,0.00023525,0.00023525,0.00023525
84,2001.63,0.63485,0.698,1.31852,0.93052,0.94653,0.95837,0.73366,0.79436,0.59558,1.44599,0.000222875,0.000222875,0.000222875
85,2019.81,0.64629,0.67141,1.31615,0.95598,0.95502,0.96304,0.74106,0.78074,0.50688,1.3976,0.0002105,0.0002105,0.0002105
86,2037.96,0.6001,0.65421,1.27985,0.92929,0.95457,0.96011,0.72957,0.79278,0.49762,1.47056,0.000198125,0.000198125,0.000198125
87,2057.25,0.59439,0.62139,1.28082,0.96671,0.95105,0.96301,0.74148,0.77255,0.52009,1.44521,0.00018575,0.00018575,0.00018575
88,2077.08,0.57525,0.61581,1.27443,0.96924,0.94272,0.96207,0.73855,0.76642,0.54653,1.44075,0.000173375,0.000173375,0.000173375
89,2094.58,0.60963,0.67611,1.29489,0.94321,0.93515,0.95332,0.73727,0.78071,0.53383,1.427,0.000161,0.000161,0.000161
90,2112.19,0.65026,0.7364,1.33354,0.96268,0.94688,0.96129,0.74576,0.77589,0.5173,1.4065,0.000148625,0.000148625,0.000148625
91,2151.1,0.54734,0.85878,1.40483,0.93399,0.95555,0.96245,0.73192,0.78352,0.53132,1.48794,0.00013625,0.00013625,0.00013625
92,2168.36,0.51872,0.61852,1.40372,0.95322,0.9419,0.9627,0.73362,0.81188,0.55359,1.47782,0.000123875,0.000123875,0.000123875
93,2185.59,0.5687,0.60765,1.4463,0.96924,0.96465,0.96967,0.73401,0.80989,0.5476,1.45465,0.0001115,0.0001115,0.0001115
94,2202.77,0.57172,0.67476,1.45559,0.98221,0.95066,0.96948,0.74546,0.79299,0.51664,1.43326,9.9125e-05,9.9125e-05,9.9125e-05
95,2220.71,0.48551,0.66992,1.34434,0.97902,0.96693,0.97013,0.73678,0.80168,0.50522,1.4324,8.675e-05,8.675e-05,8.675e-05
96,2237.93,0.45246,0.5491,1.30514,0.97089,0.95677,0.96312,0.74244,0.78807,0.50363,1.41346,7.4375e-05,7.4375e-05,7.4375e-05
97,2255.21,0.44584,0.55274,1.29634,0.97228,0.95802,0.96641,0.74777,0.76569,0.49888,1.41954,6.2e-05,6.2e-05,6.2e-05
98,2273.32,0.46802,0.58494,1.34595,0.97207,0.95439,0.96487,0.74726,0.77993,0.49121,1.43404,4.9625e-05,4.9625e-05,4.9625e-05
99,2290.49,0.43714,0.39524,1.30572,0.9815,0.96875,0.96986,0.74626,0.77165,0.4879,1.42356,3.725e-05,3.725e-05,3.725e-05
100,2307.74,0.55137,0.48617,1.40587,0.98173,0.96929,0.97016,0.7515,0.76657,0.49006,1.41834,2.4875e-05,2.4875e-05,2.4875e-05
