epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2607,1.34888,8.08498,2.8328,0.0046,0.98864,0.26725,0.17434,1.61524,9.40805,3.1935,0.000409357,0.000409357,0.000409357
2,46.0804,1.367,6.08042,2.76862,0.59643,0.20389,0.27214,0.11857,4.37131,9.39599,6.40523,0.000798765,0.000798765,0.000798765
3,57.2594,1.53334,5.40733,2.83575,0.44975,0.51063,0.49226,0.30931,2.0896,6.86218,3.57681,0.00116067,0.00116067,0.00116067
4,64.624,1.47339,4.6797,2.74131,0.51952,0.31891,0.41626,0.24005,2.4556,6.80146,3.78381,0.00112625,0.00112625,0.00112625
5,77.2501,1.44188,4.15355,2.74295,0.53774,0.62013,0.58854,0.39584,2.16242,4.99886,4.01615,0.001085,0.001085,0.001085
6,85.4003,1.44432,3.91804,2.78957,0.73279,0.62758,0.7669,0.51809,2.03715,3.71602,3.59896,0.00104375,0.00104375,0.00104375
7,95.7502,1.43977,3.65511,2.72966,0.56688,0.58239,0.54852,0.40953,1.81711,3.72986,3.31551,0.0010025,0.0010025,0.0010025
8,107.092,1.37289,3.22988,2.72936,0.73399,0.70356,0.81845,0.59469,1.78414,2.4398,3.11549,0.00096125,0.00096125,0.00096125
9,114.284,1.31581,2.98583,2.64088,0.7323,0.70626,0.80164,0.6038,1.63631,2.38227,3.05002,0.00092,0.00092,0.00092
10,127.065,1.35888,2.85885,2.6714,0.75592,0.79203,0.84217,0.64735,1.6277,1.88616,3.17663,0.00087875,0.00087875,0.00087875
11,137.934,1.33915,2.63178,2.68436,0.76697,0.76982,0.85487,0.64305,1.59672,1.72964,2.99515,0.0008375,0.0008375,0.0008375
12,145.467,1.25157,2.54817,2.55742,0.75418,0.82741,0.85663,0.61729,1.6708,1.93087,2.9764,0.00079625,0.00079625,0.00079625
13,158.177,1.25944,2.42512,2.61677,0.87115,0.80409,0.89682,0.62731,1.77472,1.64973,3.06374,0.000755,0.000755,0.000755
14,164.379,1.24343,2.41969,2.57108,0.78512,0.78567,0.89055,0.66537,1.67075,1.73949,2.88545,0.00071375,0.00071375,0.00071375
15,170.454,1.1952,2.1216,2.50708,0.8936,0.72563,0.87362,0.66461,1.56532,1.48356,3.01382,0.0006725,0.0006725,0.0006725
16,183.274,1.12883,2.07833,2.46265,0.90988,0.80977,0.88963,0.68525,1.56074,1.51724,2.93712,0.00063125,0.00063125,0.00063125
17,191.543,1.22696,2.1056,2.55165,0.80547,0.83369,0.88567,0.68437,1.55688,1.46269,2.76357,0.00059,0.00059,0.00059
18,204.962,1.16528,2.00888,2.53674,0.89189,0.79431,0.91369,0.72154,1.48141,1.33584,2.72503,0.00054875,0.00054875,0.00054875
19,219.936,1.12457,1.84026,2.46689,0.84757,0.83167,0.91575,0.68058,1.61722,1.30644,2.97284,0.0005075,0.0005075,0.0005075
20,235.099,1.08961,1.75846,2.45485,0.81652,0.79578,0.85722,0.65706,1.49166,1.51723,2.77663,0.00046625,0.00046625,0.00046625
21,272.258,0.93034,2.41722,2.71297,0.90554,0.838,0.93503,0.72014,1.69347,1.27769,2.96878,0.000425,0.000425,0.000425
22,284.601,0.9099,2.12755,2.59303,0.93996,0.85081,0.95704,0.74684,1.52626,1.27323,2.68949,0.00038375,0.00038375,0.00038375
23,303.501,0.89972,1.92724,2.59542,0.92351,0.85584,0.93745,0.74791,1.56041,1.20099,2.77495,0.0003425,0.0003425,0.0003425
24,309.825,0.81884,1.85076,2.50003,0.97023,0.88461,0.96111,0.77273,1.46848,1.04509,2.66303,0.00030125,0.00030125,0.00030125
25,316.095,0.81876,1.67599,2.46206,0.91403,0.90779,0.95816,0.73789,1.43915,1.16484,2.66351,0.00026,0.00026,0.00026
26,328.922,0.77334,1.68048,2.49113,0.93944,0.92244,0.96292,0.76015,1.50356,1.05024,2.66234,0.00021875,0.00021875,0.00021875
27,337.714,0.7661,1.58351,2.44908,0.94624,0.93557,0.96651,0.75858,1.46597,1.01027,2.65907,0.0001775,0.0001775,0.0001775
28,347.296,0.74168,1.50641,2.45021,0.97124,0.94446,0.96794,0.7706,1.36845,0.962,2.49736,0.00013625,0.00013625,0.00013625
29,359.796,0.70885,1.40739,2.39949,0.9494,0.91536,0.9648,0.76534,1.38151,0.97918,2.52709,9.5e-05,9.5e-05,9.5e-05
30,366.992,0.70775,1.40709,2.39363,0.94123,0.91832,0.96214,0.75334,1.40411,1.00743,2.55917,5.375e-05,5.375e-05,5.375e-05
